OBJECTID,ZCTA5CE10,Zip,PopOver5,EngOnly,Spanish,Indo_Euro,Asian,Other,PovPop,Under50,Under100,Under130,Under200,Ineligible,Adj_Denom,CalFresh,PRI_Code,Elig_Non_R
670,91764,91764,50502,19371,28162,515,2307,147,53880,4732,10805,13851.76,25003,3650.3294,10201.4306,9209,80.0 - 100.0,992.4306
25,94303,94303,44673,16955,16790,2341,7793,794,47542,2741,5747,8604.96,14537,3075.37042,5529.58958,4675,80.0 - 100.0,854.58958
394,90802,90802,37681,22975,11016,1607,1751,332,39552,3759,9898,12501.84,17926,2101.5341,10400.3059,3595,25.0 - 49.9,6805.3059
282,92823,92823,3492,2393,216,230,653,0,3769,15,260,270.4,443,48.51784,221.88216,135,50.0 - 79.9,86.88216
155,95978,95978,115,96,0,19,0,0,115,96,96,99.84,96,17.52892,82.31108,53,50.0 - 79.9,29.31108
139,94564,94564,18250,11775,2460,1297,2681,37,18943,694,1435,2194.4,3991,269.92372,1924.47628,857,25.0 - 49.9,1067.47628
300,92879,92879,43633,21899,15876,2156,3235,467,46261,2807,6823,9663.68,16241,2011.84006,7651.83994,5299,50.0 - 79.9,2352.83994
818,92395,92395,37684,25283,10030,1078,869,424,40926,6258,11138,14665.04,22082,2711.65846,11953.38154,12957,Over 100 (Data Error),0
136,94560,94560,42277,19740,10042,4128,8125,242,44611,1315,3058,4468.88,8742,1241.7777,3227.1023,2282,50.0 - 79.9,945.1023
355,91016,91016,39028,23270,10491,860,3931,476,41735,1466,3556,5597.28,10887,1228.61186,4368.66814,2574,50.0 - 79.9,1794.66814
806,95110,95110,18042,6793,9238,687,1172,152,18554,1565,3693,5949.84,8684,1291.92222,4657.91778,2009,25.0 - 49.9,2648.91778
241,92801,92801,60662,19409,29944,1703,8227,1379,66071,5272,12853,18056.48,31423,4745.36504,13311.11496,10190,50.0 - 79.9,3121.11496
153,95975,95975,1645,1466,179,0,0,0,1811,20,299,451.36,511,18.66092,432.69908,112,25.0 - 49.9,320.69908
985,92691,92691,47112,35678,5476,3228,2429,301,49128,1560,2637,3887.52,6744,683.17874,3204.34126,1604,50.0 - 79.9,1600.34126
837,95125,95125,50042,36426,6709,2676,3713,518,53490,1689,4116,5751.2,10314,1013.3372,4737.8628,2275,25.0 - 49.9,2462.8628
639,91711,91711,35559,25059,4669,1564,3716,551,32482,1504,3264,3879.2,6917,533.84778,3345.35222,1181,25.0 - 49.9,2164.35222
19,95832,95832,10198,4959,1861,1329,2043,6,11220,1146,3135,4561.44,7409,928.09962,3633.34038,3285,80.0 - 100.0,348.34038
865,92518,92518,1027,772,208,9,38,0,1082,148,157,183.04,176,9.14846,173.89154,60,25.0 - 49.9,113.89154
889,95205,95205,33947,12542,19031,338,2004,32,37083,4569,12242,16522.48,25353,4229.3232,12293.1568,11738,80.0 - 100.0,555.1568
404,91214,91214,29485,16261,1959,4186,6713,366,30818,901,1536,2474.16,4667,495.4172,1978.7428,761,25.0 - 49.9,1217.7428
325,94938,94938,815,768,37,0,10,0,840,56,78,163.28,233,5.53846,157.74154,37,0 - 24.9,120.74154
953,92653,92653,27645,18669,4435,2377,2076,88,28815,1200,2547,3798.08,5869,731.13622,3066.94378,1446,25.0 - 49.9,1620.94378
191,94582,94582,37920,18331,1136,5946,11953,554,40441,1013,1615,1891.76,2801,229.73036,1662.02964,509,25.0 - 49.9,1153.02964
245,92806,92806,37595,15614,17004,1087,3468,422,39924,2001,5409,7735.52,13410,2035.29832,5700.22168,5045,80.0 - 100.0,655.22168
570,96143,96143,3622,2384,1203,20,15,0,3728,107,408,900.64,1512,245.49822,655.14178,338,50.0 - 79.9,317.14178
