geoid,name,total_population,median_income,median_home_value,educational_attainment,white_alone,black_alone,native,asian,native_hawaiian_pacific_islander,some_other_race_alone,two_or_more,hispanic_or_latino,unemployed,labor_force,receives_snap,snap_universe,receives_pai,pai_universe,uninsured,insured_universe,median_percentage_income_rent
06081611100,"Census Tract 6111, San Mateo County, California",6340,150679.0,1107200.0,2678.0,4945.0,0.0,0.0,484.0,64.0,0.0,257.0,590.0,138.0,3547.0,17.0,2325.0,59.0,2325.0,70.0,6305.0,18.6
06081611200,"Census Tract 6112, San Mateo County, California",2901,133203.0,931800.0,1030.0,2140.0,4.0,0.0,106.0,0.0,26.0,67.0,558.0,52.0,1423.0,16.0,1061.0,8.0,1061.0,37.0,2901.0,24.8
06081611300,"Census Tract 6113, San Mateo County, California",5458,121760.0,930500.0,2028.0,3663.0,21.0,0.0,517.0,0.0,26.0,222.0,1009.0,231.0,3072.0,48.0,2019.0,31.0,2019.0,233.0,5453.0,24.8
06081611400,"Census Tract 6114, San Mateo County, California",4412,250001.0,2000001.0,2263.0,3403.0,25.0,20.0,516.0,0.0,15.0,229.0,224.0,157.0,1779.0,15.0,1411.0,0.0,1411.0,53.0,4412.0,10.0
06081611500,"Census Tract 6115, San Mateo County, California",2715,250001.0,2000001.0,1525.0,1936.0,0.0,11.0,497.0,7.0,19.0,115.0,141.0,18.0,1078.0,4.0,920.0,21.0,920.0,24.0,2715.0,17.1
06081611600,"Census Tract 6116, San Mateo County, California",2316,161250.0,1199700.0,1085.0,1703.0,60.0,8.0,288.0,0.0,0.0,103.0,154.0,53.0,1122.0,0.0,793.0,0.0,793.0,107.0,2316.0,21.8
06081611700,"Census Tract 6117, San Mateo County, California",5349,54856.0,589200.0,654.0,382.0,1328.0,32.0,166.0,381.0,0.0,124.0,2956.0,173.0,2847.0,271.0,1371.0,100.0,1371.0,479.0,5349.0,38.8
06081611800,"Census Tract 6118, San Mateo County, California",3965,64135.0,525800.0,216.0,153.0,730.0,97.0,75.0,523.0,10.0,59.0,2411.0,196.0,2076.0,170.0,832.0,31.0,832.0,420.0,3965.0,38.6
06081611900,"Census Tract 6119, San Mateo County, California",10280,57349.0,548800.0,1206.0,1273.0,1239.0,30.0,505.0,811.0,90.0,421.0,5941.0,533.0,5777.0,268.0,2637.0,119.0,2637.0,1754.0,10280.0,33.2
06081612000,"Census Tract 6120, San Mateo County, California",7408,61667.0,454800.0,648.0,123.0,918.0,0.0,199.0,965.0,0.0,297.0,4906.0,328.0,3966.0,263.0,1542.0,63.0,1542.0,1084.0,7403.0,33.4
06081612100,"Census Tract 6121, San Mateo County, California",8817,53693.0,1166700.0,1562.0,1487.0,617.0,0.0,517.0,562.0,0.0,190.0,5444.0,256.0,4750.0,390.0,2744.0,128.0,2744.0,1251.0,8817.0,39.1
06081612500,"Census Tract 6125, San Mateo County, California",4154,120054.0,1698800.0,2623.0,3096.0,37.0,0.0,352.0,0.0,0.0,255.0,414.0,70.0,2271.0,0.0,1870.0,16.0,1870.0,59.0,4124.0,24.6
06081612600,"Census Tract 6126, San Mateo County, California",4738,133241.0,1364400.0,2813.0,3496.0,12.0,0.0,900.0,0.0,40.0,145.0,145.0,53.0,2923.0,30.0,2018.0,29.0,2018.0,225.0,4602.0,26.5
06081612700,"Census Tract 6127, San Mateo County, California",2114,238375.0,2000001.0,1181.0,1761.0,1.0,0.0,170.0,0.0,0.0,61.0,121.0,6.0,907.0,13.0,733.0,10.0,733.0,47.0,2114.0,14.4
06081612800,"Census Tract 6128, San Mateo County, California",3296,217321.0,2000001.0,1734.0,2584.0,3.0,0.0,287.0,2.0,2.0,186.0,232.0,105.0,1467.0,11.0,985.0,6.0,985.0,47.0,3296.0,18.4
06081612900,"Census Tract 6129, San Mateo County, California",4606,168371.0,1607000.0,2616.0,3244.0,112.0,0.0,801.0,0.0,38.0,196.0,215.0,72.0,2280.0,0.0,1717.0,0.0,1717.0,38.0,4601.0,24.2
06081613000,"Census Tract 6130, San Mateo County, California",3484,123750.0,1524000.0,1934.0,2602.0,3.0,0.0,717.0,0.0,0.0,88.0,74.0,53.0,1491.0,32.0,1419.0,0.0,1419.0,40.0,3484.0,43.2
06081613200,"Census Tract 6132, San Mateo County, California",6772,217188.0,2000001.0,4077.0,5456.0,28.0,0.0,435.0,0.0,126.0,405.0,322.0,134.0,3063.0,0.0,2622.0,0.0,2622.0,90.0,6736.0,23.3
06081613300,"Census Tract 6133, San Mateo County, California",2722,219926.0,2000001.0,1378.0,2332.0,0.0,0.0,153.0,0.0,0.0,54.0,183.0,66.0,1191.0,0.0,946.0,6.0,946.0,100.0,2722.0,10.0
06081613400,"Census Tract 6134, San Mateo County, California",3157,208594.0,2000001.0,1695.0,2688.0,0.0,0.0,129.0,0.0,14.0,23.0,303.0,18.0,1577.0,0.0,1159.0,0.0,1159.0,181.0,3157.0,26.3
06081613501,"Census Tract 6135.01, San Mateo County, California",4852,101026.0,755100.0,1524.0,2730.0,32.0,0.0,275.0,0.0,0.0,115.0,1700.0,179.0,2746.0,60.0,1638.0,0.0,1638.0,271.0,4831.0,32.2
06081613502,"Census Tract 6135.02, San Mateo County, California",6510,125803.0,870300.0,2690.0,4583.0,0.0,2.0,333.0,35.0,0.0,246.0,1313.0,233.0,3595.0,47.0,2335.0,31.0,2335.0,652.0,6510.0,40.2
06081613600,"Census Tract 6136, San Mateo County, California",6601,94481.0,800000.0,2297.0,4941.0,21.0,0.0,103.0,0.0,71.0,99.0,1366.0,96.0,3353.0,75.0,2297.0,0.0,2297.0,348.0,6478.0,25.7
06081613700,"Census Tract 6137, San Mateo County, California",8922,105275.0,799300.0,3424.0,5424.0,0.0,21.0,472.0,69.0,0.0,309.0,2648.0,264.0,5385.0,163.0,3706.0,121.0,3706.0,590.0,8922.0,24.9
06081613800,"Census Tract 6138, San Mateo County, California",3731,82192.0,833300.0,1123.0,2645.0,58.0,8.0,30.0,13.0,98.0,73.0,806.0,91.0,1903.0,50.0,1381.0,13.0,1381.0,374.0,3715.0,33.0
06081613900,"Census Tract 6139, San Mateo County, California",6776,146307.0,1480300.0,3139.0,3921.0,263.0,32.0,1004.0,126.0,47.0,282.0,1116.0,158.0,3485.0,32.0,2069.0,10.0,2069.0,268.0,6633.0,25.6
